time	data	error	fit	res
0.0030720000	0.5416500782	0.0029343690	0.5392113302	0.8310979165
0.0032768000	0.5139858658	0.0030081106	0.5077487981	2.0734170312
0.0034816000	0.4839794589	0.0041519437	0.4795219766	1.0735892903
0.0036864000	0.4593595307	0.0049030977	0.4540603905	1.0807739138
0.0038912000	0.4353415546	0.0031741295	0.4309804376	1.3739568378
0.0040960000	0.4149116163	0.0031876035	0.4099662244	1.5514451178
0.0045056000	0.3738540108	0.0040230740	0.3731276415	0.1805508177
0.0049152000	0.3421104101	0.0028484465	0.3419077912	0.0711331117
0.0053248000	0.3138565974	0.0030334839	0.3151268233	-0.4187350330
0.0057344000	0.2941427203	0.0052163928	0.2919128671	0.4274703332
0.0061440000	0.2775697844	0.0080110191	0.2716077469	0.7442296009
0.0065536000	0.2631006051	0.0080650310	0.2537053324	1.1649394403
0.0069632000	0.2472303483	0.0073441991	0.2378100637	1.2826837120
0.0073728000	0.2387276388	0.0089731697	0.2236083479	1.6849442685
0.0077824000	0.2231797186	0.0082196945	0.2108483957	1.5002166904
0.0081920000	0.2071188760	0.0056618739	0.1993257293	1.3764253401
0.0090112000	0.1896287489	0.0078448546	0.1793500361	1.3102489919
0.0098304000	0.1741022765	0.0078405069	0.1626510549	1.4605205636
0.0106496000	0.1583241899	0.0070372296	0.1485010650	1.3958795450
0.0114688000	0.1498040721	0.0097083386	0.1363716031	1.3836012019
0.0122880000	0.1374732703	0.0091458244	0.1258697800	1.2687199928
0.0131072000	0.1305407005	0.0089665819	0.1166975350	1.5438620560
0.0139264000	0.1223515109	0.0081644439	0.1086247378	1.6812869568
0.0147456000	0.1116446122	0.0043345561	0.1014709447	2.3471071337
0.0155648000	0.1044854787	0.0046674410	0.0950927262	2.0123987357
0.0163840000	0.0967036329	0.0030009455	0.0893746792	2.4422148296
0.0180224000	0.0900672015	0.0038282045	0.0795603712	2.7445844058
0.0196608000	0.0845249358	0.0058105855	0.0714576652	2.2488732776
0.0212992000	0.0818203880	0.0073296023	0.0646694488	2.3399549508
0.0229376000	0.0744348872	0.0052974986	0.0589110496	2.9304089792
0.0245760000	0.0670794895	0.0042919138	0.0539732997	3.0536936020
0.0262144000	0.0613527782	0.0059231739	0.0496992213	1.9674513943
0.0278528000	0.0587699152	0.0053826475	0.0459688214	2.3782151602
0.0294912000	0.0578082902	0.0064790737	0.0426888901	2.3335743447
0.0311296000	0.0569590686	0.0076960884	0.0397859859	2.2314040373
0.0327680000	0.0501895352	0.0067523240	0.0372015058	1.9234902584
0.0360448000	0.0491120362	0.0070703576	0.0328073664	2.3060601223
0.0393216000	0.0432948803	0.0054098676	0.0292219409	2.6013463766
0.0425984000	0.0419058052	0.0060996033	0.0262498369	2.5667190948
0.0458752000	0.0363168296	0.0046207501	0.0237527437	2.7190576717
0.0491520000	0.0343233934	0.0052491626	0.0216302108	2.4181347764
0.0524288000	0.0318255439	0.0053422816	0.0198076600	2.2495788804
0.0557056000	0.0319158431	0.0053881506	0.0182286527	2.5402390046
0.0589824000	0.0304079345	0.0050102519	0.0168497561	2.7060871640
0.0622592000	0.0290852300	0.0055454401	0.0156370473	2.4250884427
0.0655360000	0.0287796975	0.0055230050	0.0145636788	2.5739644570
0.0720896000	0.0265716526	0.0060811610	0.0127530578	2.2723612669
0.0786432000	0.0239940910	0.0059551924	0.0112897813	2.1333164420
0.0851968000	0.0233398260	0.0055960349	0.0100870281	2.3682479073
0.0917504000	0.0215993458	0.0052370743	0.0090840648	2.3897466656
0.0983040000	0.0205863112	0.0066333465	0.0082372515	1.8616635965
0.1048576000	0.0199109044	0.0055653593	0.0075145005	2.2274220248
0.1114112000	0.0208599224	0.0053168733	0.0068917418	2.6271419068
0.1179648000	0.0205095787	0.0051600831	0.0063506011	2.7439437038
0.1245184000	0.0203836988	0.0053339713	0.0058768331	2.7197119700
0.1310720000	0.0182490218	0.0052104429	0.0054592402	2.4546438392
0.1441792000	0.0179417406	0.0062449664	0.0047586754	2.1109905829
0.1572864000	0.0182280365	0.0064348317	0.0041962126	2.1806046614
0.1703936000	0.0173778653	0.0060027822	0.0037365078	2.2725058005
0.1835008000	0.0169015494	0.0058405977	0.0033550587	2.3193671803
0.1966080000	0.0152383434	0.0049901281	0.0030343978	2.4456176795
0.2097152000	0.0157550262	0.0057102163	0.0027617717	2.2754399774
0.2228224000	0.0146154597	0.0055375031	0.0025276734	2.1828947158
0.2359296000	0.0140732347	0.0058382357	0.0023248862	2.0123114599
0.2490368000	0.0155255980	0.0062767718	0.0021478434	2.1313112722
0.2621440000	0.0169744199	0.0058932554	0.0019921897	2.5422672498
0.2883584000	0.0145972469	0.0053877985	0.0017319275	2.3878620012
0.3145728000	0.0144246173	0.0060890720	0.0015237909	2.1186851258
0.3407872000	0.0144032160	0.0058054152	0.0013542489	2.2477233065
0.3670016000	0.0146713385	0.0061181857	0.0012139746	2.1995677564
0.3932160000	0.0166915106	0.0064047291	0.0010963515	2.4349443838
